Date,Open,High,Low,Close ,Volume
8-Jul-24,5572.75,5583.11,5562.51,5572.85,3185670000
5-Jul-24,5537.91,5570.33,5531.63,5567.19,3253080000
3-Jul-24,5507.44,5539.27,5507.42,5537.02,2179470000
2-Jul-24,5461.84,5509.69,5458.43,5509.01,3329950000
1-Jul-24,5471.08,5479.55,5446.53,5475.09,3488760000
28-Jun-24,5488.48,5523.64,5451.12,5460.48,7199220000
27-Jun-24,5473.59,5490.81,5467.54,5482.87,3589530000
26-Jun-24,5460.71,5483.14,5451.87,5477.9,3563920000
25-Jun-24,5460.73,5472.88,5446.56,5469.3,3591960000
24-Jun-24,5459.58,5490.66,5447.59,5447.87,3696750000
21-Jun-24,5466.77,5478.31,5452.03,5464.62,6773800000
20-Jun-24,5499.99,5505.53,5455.56,5473.17,3847060000
18-Jun-24,5476.15,5490.38,5471.32,5487.03,3544330000
17-Jun-24,5431.11,5488.5,5420.4,5473.23,3447840000
14-Jun-24,5424.08,5432.39,5403.75,5431.6,3438650000
13-Jun-24,5441.93,5441.93,5402.51,5433.74,3530380000
12-Jun-24,5409.13,5447.25,5409.13,5421.03,3962840000
11-Jun-24,5353,5375.95,5327.25,5375.32,3568030000
10-Jun-24,5341.22,5365.79,5331.52,5360.79,3622280000
7-Jun-24,5343.81,5375.08,5331.33,5346.99,3692760000
6-Jun-24,5357.8,5362.35,5335.36,5352.96,3609990000
5-Jun-24,5314.48,5354.16,5297.64,5354.03,3591460000
4-Jun-24,5278.24,5298.8,5257.63,5291.34,3707900000
3-Jun-24,5297.15,5302.11,5234.32,5283.4,4046920000
31-May-24,5243.21,5280.33,5191.68,5277.51,5437160000
30-May-24,5259.77,5260.21,5222.1,5235.48,3818750000
29-May-24,5278.73,5282.27,5262.7,5266.95,3552750000
28-May-24,5315.91,5315.91,5280.89,5306.04,3751540000
24-May-24,5281.45,5311.65,5278.39,5304.72,3005510000
23-May-24,5340.26,5341.88,5256.93,5267.84,3869520000
22-May-24,5319.28,5323.18,5286.01,5307.01,3847130000
21-May-24,5298.69,5324.32,5297.87,5321.41,3662240000
20-May-24,5305.35,5325.32,5302.4,5308.13,3420100000
17-May-24,5303.1,5305.45,5283.59,5303.27,3578120000
16-May-24,5310.07,5325.49,5296.19,5297.1,3817470000
15-May-24,5263.26,5311.76,5263.26,5308.15,4360810000
14-May-24,5221.1,5250.37,5217.98,5246.68,4763580000
13-May-24,5233.08,5237.26,5211.16,5221.42,4255710000
10-May-24,5225.49,5239.66,5209.68,5222.68,3617900000
9-May-24,5189.03,5215.3,5180.41,5214.08,3727370000
8-May-24,5168.98,5191.95,5165.86,5187.67,3842100000
7-May-24,5187.2,5200.23,5178.96,5187.7,3987890000
6-May-24,5142.42,5181,5142.42,5180.74,3683250000
3-May-24,5122.78,5139.12,5101.22,5127.79,3924990000
2-May-24,5049.32,5073.21,5011.05,5064.2,4381660000
1-May-24,5029.03,5096.12,5013.45,5018.39,4544170000
30-Apr-24,5103.78,5110.83,5035.31,5035.69,4082470000
29-Apr-24,5114.13,5123.49,5088.65,5116.17,3447450000
26-Apr-24,5084.65,5114.62,5073.14,5099.96,3604140000
25-Apr-24,5019.88,5057.75,4990.58,5048.42,3958050000
24-Apr-24,5084.86,5089.48,5047.02,5071.63,3656740000
23-Apr-24,5028.85,5076.12,5027.96,5070.55,3751400000
22-Apr-24,4987.33,5038.84,4969.4,5010.6,3820250000
19-Apr-24,5005.44,5019.02,4953.56,4967.23,3878750000
18-Apr-24,5031.52,5056.66,5001.89,5011.12,3619760000
17-Apr-24,5068.97,5077.96,5007.25,5022.21,3596130000
16-Apr-24,5064.59,5079.84,5039.83,5051.41,4006200000
15-Apr-24,5149.67,5168.43,5052.47,5061.82,3950210000
12-Apr-24,5171.51,5175.03,5107.94,5123.41,3963220000
11-Apr-24,5172.95,5211.78,5138.77,5199.06,3509380000
10-Apr-24,5167.88,5178.43,5138.7,5160.64,3845930000
9-Apr-24,5217.03,5224.81,5160.78,5209.91,3400680000
8-Apr-24,5211.37,5219.57,5197.35,5202.39,3278180000
5-Apr-24,5158.95,5222.18,5157.21,5204.34,3386780000
4-Apr-24,5244.05,5256.59,5146.06,5147.21,4075680000
3-Apr-24,5194.37,5228.75,5194.37,5211.49,3703250000
2-Apr-24,5204.29,5208.34,5184.05,5205.81,3886590000
1-Apr-24,5257.97,5263.95,5229.2,5243.77,3325930000
28-Mar-24,5248.03,5264.85,5245.82,5254.35,3998270000
27-Mar-24,5226.31,5249.26,5213.92,5248.49,3850500000
26-Mar-24,5228.85,5235.16,5203.42,5203.58,3871790000
25-Mar-24,5219.52,5229.09,5216.09,5218.19,3331360000
22-Mar-24,5242.48,5246.09,5229.87,5234.18,3374700000
21-Mar-24,5253.43,5261.1,5240.66,5241.53,4207730000
20-Mar-24,5181.69,5226.19,5171.55,5224.62,4064850000
19-Mar-24,5139.09,5180.31,5131.59,5178.51,4031760000
18-Mar-24,5154.77,5175.6,5145.47,5149.42,4036220000
